Date,Name,Review
2023-02-01T21:55:17.128Z,Susie Doll,"We were looking for a good place for our 12 year old daughter to improve her fitness, speed and agility for lacrosse. Genesis has been a wonderful and encouraging place. We are excited to have some place that helps both adults and kids get in shape as well as improved there athleticism."
2023-01-23T23:31:31.128Z,Brenda Richards,Great personalized training plan for my 17-year-old son to help with his performance training for track and field. Great motivating environment. Skilled trainers. Highly recommend.
2023-01-20T01:45:46.128Z,Kim Boyd,Graham and the trainers at Genesis are great! They motivate my son to push himself but also emphasize fun. My son was not enthusiastic about going to a gym but now looks forward to it! He is getting faster and stronger and this is translating to improved performance on the soccer field!
2023-01-12T18:49:59.128Z,Danyle Chavis,Highly Recommend. The coaching is REAL...AUTHENTIC...and the RESULTS speak for themselves. What a blessing Genesis Performance has been for my son.
2022-12-20T16:21:47.128Z,Staci Schneider,"Son has been going for several years. He absolutely loves it and talks about Graham and the other trainers all the time. Definitely a safe place for kids to become stronger athletes/people, mentally and physically."
2022-11-09T14:34:14.128Z,Amy Seale,"My son started speed and agility training for Lacrosse and we are seeing such amazing results even after just one month. He has never been this motivated to workout either! I then joined the fitness boot camp and it has been the best part of my day. The trainers are just amazing and care so much about each of us. I'm the strongest I've been in years! We even signed up our 8 year old daughter for the youth speed classes and she can't get enough. I have never liked working out my whole life until I started Genesis. No one yells at you, makes you feel less than, and they care about your whole body not just fat loss. This is by far the best training gym I've ever been to and I'm so glad the whole family can be apart of this fitness journey."
2022-10-11T03:05:48.140Z,Alicia Schroeder,Genesis Performance is an amazing facility! The coaching and trainers are awesome and have a way of getting the best out of you every class! They meet you where you're at in your fitness journey and help take you to the next level. There's a great sense of team and community as well which I love. As a collegiate athlete having this type of place to train is crucial!
2022-09-21T18:58:22.140Z,Hannah Steiner,This is such a great place to workout and meet a lot of awesome people. All of the workouts are challenging but can be modified for any fitness level. Graham and all of the trainers not only want you to be successful in the gym but in life as well. They pour into each member and make it a fun and encouraging environment for all. I love working out here and am so grateful to have found Genesis Performance!
2022-09-04T18:29:33.140Z,Jackie Johnson,"My children have been going to Genesis for the past 3 years and they love the high energy atmosphere and the coaches are really supportive and helpful.  I've seen improvement with speed, agility and their confidence in themselves.  Highly recommend."
2022-08-30T21:58:33.140Z,C C,"Genesis is a great place, they have done wonders for my son, my 17 year old high school football player. His core has gotten stronger, his hip has gotten more flexible and he has gained muscle. He looks forward to going there twice a week."
2022-08-17T03:09:52.152Z,Kristy Younts,"This place has been a godsend for me and my son. He's been going for 2.5yrs now and he loves it. Graham and his coaches are legit amazing and encouraging. They really want you to succeed and push yourself. The atmosphere at the gym is uplifting and fun. Like a little community. No matter your fitness level, Genesis is a safe place to challenge yourself, get healthier and have fun doing it!"
2022-08-08T21:26:53.152Z,Madeline Petty,"Started going because a friend asked me to go with her. But kept going because of Graham and all the trainers. They create a supportive, motivating and fun environment. I look forward to going to the gym, never thought I'd say that :)"
2022-07-28T18:44:55.152Z,Mark Trefz,Terrific people at Genesis Performance.  Inclusive and encouraging. Great for every level of fitness and athleticism.  A gym for everyone from beginners to college athletes.
2022-07-12T20:39:12.152Z,Amy Spencer,I highly recommend Genesis Performance to anyone looking to train for their sport or just general health. My son started coming to get faster for soccer and he loves it and is always excited to come train here. The trainers are so encouraging and positive…they meet you exactly where you are in your fitness. Graham the owner and all the trainers are amazing!
2022-07-08T18:41:35.152Z,Mike Sealls,"I've been working out at Genesis for 3 years now. Graham and his staff do a tremendous job creating an uplifting and comfortable environment for you to get the most out of your workouts. I'm faster, stronger, and move way better than I ever did before coming to Genesis. No matter your fitness level they can make it work for you. If you are looking for an awesome gym and coaches to get the best workouts check them out!"
2022-06-27T17:49:59.164Z,Molly Knipstein,"If you are looking for an encouraging,  challenging work out place then Genesis Performance is for you!! Graham and his trainers are amazing! Everyone is family there and I love it!!"
2022-06-06T16:55:23.164Z,Kalen Steiner,"I've been to lots of gyms through the years and Genesis has by far been my favorite! Amazing trainers that push me each day to be the best I can be! Every trainer there brings so much energy! No matter what fitness level you are on, from beginner to athlete you can get an amazing workout in. It's a community vibe where everyone is in it together! A+"
2022-05-12T12:54:39.164Z,Molly M,"I love this place! My kids 10,11,12,14 go to this gym and they enjoy every minute of it!! The trainers are amazing, encouraging and fun!! Graham the owner is fantastic!! He's so personable and welcoming, you can tell he loves what he does!!! Highly recommend!!"
2022-04-08T12:27:18.176Z,Emily Tharp,"My daughter is almost 16 and has been attending Genesis Performance for the last 7 months for speed and agility training as well as extra softball skill work. I am incredibly thankful for Graham and the rest of the Genesis Performance team! They've played an integral role in the growth and development of my daughter both as an athlete and a person. She's stronger, faster, and more confident as a result. Her performance on the field speaks for itself and I give Genesis Performance a lot of the credit. They have created such a wonderful, encouraging and positive atmosphere and I feel beyond blessed to have them in our daughter's life!"
2022-03-28T23:40:55.176Z,Jeff Rhoades,"My son has been working out at Genesis since they opened at their new location and he absolutely loves it. When we were looking for a place to work out Graham the owner told us to give it a try and see if we like it. My son didn't want to go, but after the first workout he was all in. The trainers at Genesis are great people and treat him amazing! All of them are so positive and encouraging,  they push him to be his best. Genesis is like a family to us now, once you're in you understand. Amazing things are happening there and everyone is welcome! Whatever age and fitness level you're at, Genesis is for you. I've been so impressed and give my highest recommendation!"
2022-03-24T01:20:31.176Z,Jessica Burbrink,"Best gym in Indy! My husband and I have been working out at Genesis for almost 2 years and absolutely love it! Graham, Christian, Cole and all of the trainers push you to work hard, keep you motivated, are encouraging, welcoming, and have created an amazing environment to be a part of! I used to think working out was a chore but now it's the highlight of my day! Thank you to Graham and the entire Genesis Performance team!"
2022-02-23T00:24:39.188Z,Susie Segraves,"My daughter has been going to Genesis for about 18 months. She loves her trainers and how the help encourage her and push her to be better. It has increased her confidence greatly. Not only are the trainers and staff there for your workout journey, they genuinely care for their athletes. Graham and his team do an excellent job!"
2022-02-15T01:53:55.188Z,Staci Motz,My son has loved coming to Genesis Performance and it has greatly improved his speed and strength. Graham and the other trainers are amazing with motivation and encouragement. They have also greatly improved his confidence. ⭐⭐⭐⭐⭐
2022-02-14T18:22:33.188Z,Ricky Elmore,Graham and all of his team have been amazing for my kids! The trainers are always so positive and encouraging. They push the kids to be their best. My kids have gotten stronger and faster and absolutely love working out. The mindset training and building confidence they provide the kids is equally as important. We are very thankful for Genesis and all the trainers!
2022-02-09T00:22:01.188Z,Sandi McGinn,"Great atmosphere, encouraging coaches and an all around awesome place to workout. The coaches are motivating but not intimidating. Graham has created a family feel that so many places lack. This is the best gym I've ever been a part of! Highly recommend!!"
2022-02-02T16:36:41.200Z,Kara Burrus,"Amazing, motivating atmosphere! Graham the owner and all of the trainers are top notch and care about you as a person! Results guaranteed if you get plugged in!"
2022-01-07T00:50:27.200Z,Chrissie Davis,"My son has been going to Genesis Performance for 2 years! We have always felt welcome by every trainer and they encourage so much! My son was shy and quiet and didn't want to be a part of any sport team. Over the time he has attended Genesis he not only has become physically stronger, but stronger as a person mentally. He now has the confidence and strength to play on a team. So very thankful for Genesis and how they made my son feel comfortable and confident. Genesis truly cares about every individual and I would highly recommend them!"
2021-12-16T01:51:28.200Z,Michael Harvey,"We've been looking around for a training facility for my son who just started his freshman year of football.  Graham and his staff are extremely welcoming and encouraging to their athletes.  They absolutely love what they do and it shows through the results of the training.  My son is faster, stronger and has drastically improved his performance on the field this year.  Grateful to have found this gym and these high character individuals to help him grow as an athlete and a young man."
2021-11-02T03:08:31.212Z,Jason Brock,"Genesis is a GREAT facility and their trainers are the BEST!!! My daughter has been going for over 2 years and she loves her trainers and they are making her into a beast!  Graham has a great operation and the trainers are super positive and helpful. They offer many different programs for all ages and skill levels. I have been to various other performance gyms and this one by far is better than all of them!!! My daughter is not only getting in great shape but she is also building her confidence, which is one of the most important things of all !! I highly recommend !"
2021-10-28T01:40:55.212Z,Lindsey Houp,"Graham and the coaches at Genesis are the BEST!!! My daughter has been attending speed and agility classes for 3+ years and she loves every single workout.  The coaches are incredibly encouraging and push her to be better.  She's gotten stronger and faster. She's also gained confidence and mental toughness.  The fact that she wants to go and enjoys every minute of it speaks volumes!! Graham also recently led my daughter's soccer team through a team building, mindset training session and it was perfect for a bunch of 12 year old girls. I could go on and on about Genesis.  We love this place and highly recommend!!"
2021-08-16T20:38:45.212Z,Annie Gerdt,Genesis Performance is the best!! They have such great trainers and equipment. Graham the owner is a great motivator and has a great positive atmosphere at the gym. They meet you where you are starting and build you stronger from there. Variety in every workout never boring!!
2021-07-12T17:49:22.224Z,Kylee Daniels,"My daughter has been going to Genesis since December and has gotten so much stronger and faster in just 7 months! Graham and the trainers are amazing at encouragement and helping correct her form when necessary! She loves going twice a week! We've been to lots of different trainers, but Genesis is our favorite, our home!"
2021-04-30T14:22:50.224Z,Jennifer Gough,"My 12 year old son has been going to Genesis Performance for a couple months now and he loves it! All the trainers are very positive and motivating. Graham has built an amazing, encouraging culture that is perfect for all skill levels."
2021-02-18T04:27:41.224Z,Sara Wilson,"My son has been training at Genesis Performance the past several months and he has gotten stronger and faster with every workout. He has more confidence and speed on the soccer field. The trainers are supportive and encouraging and it's a joy to watch my son work hard alongside trainers that care about his success and building him up as a person. As a parent, I am grateful for Genesis Performance - they do amazing work!"
2021-01-17T15:39:18.236Z,Kourtney Mangas,"My son has been going to Genesis Sports Performance since they opened in October, and I have watched him grow exponentially. He has gotten faster and stronger. More important than that, Genesis has helped him become more confident and positive. My son struggles with being too critical on himself, but the owners and coaches have helped him tremendously with the mindset piece, which is just as important as the physical training. I think they are excellent. I highly recommend Genesis."
2020-12-28T03:11:28.236Z,Sheridan Bobbitt,"My son has been going to Genesis Performance for about 2 months now and he loves it. He feels like it has made him a stronger athlete.  He gets very excited for his workouts. And he has even made the comment 'mom I'm getting muscles'! The trainers are all great! They are always encouraging, supportive, and helping them get better each and every time they come to workout. They are motivating not only to my son but to everyone they train. Such a positive group. We are very pleased with Genesis Performance!! I highly recommend them."
2020-12-07T17:09:46.236Z,Crystal Marshall,"My son has been attending Genesis for a little over a month and we couldn't be happier with his progress! He gets excited to go to his 'class' and happily shares what he did when he's done. The trainers are amazing! They encourage, but also push the kids when they need it. I can see him becoming stronger, faster and it's building his confidence. We can't say enough great things about Genesis!"
2020-12-03T19:51:55.248Z,Becky Joven,"My son joined Genesis right when they opened. He plays football, wrestles, and runs track. He needed the strength and speed training to compete in high school sports. Not only have I seen him physically getting stronger and faster but Genesis is also helping him with the mental aspect of being a student-athlete. I 100% recommend Genesis to help take your athlete to the next level."
2020-11-23T21:35:59.248Z,Lisa Jones,"Genesis is awesome! They have done wonders for my son's strength, agility, speed and confidence! The coaches genuinely care about the athletes and it shows every single training session! They run a great operation and definitely provide a service that benefits kids and adults! Thanks for all that you do Genesis!!!"
2020-11-17T00:31:24.248Z,Elaina Giddens,"Graham and the rest of the team at Genesis are amazing!  Graham truly cares about the athletes and is always pushing the athletes to be their best.  My son has been there since they opened and he always wants to go! I've noticed a huge improvement in his speed already!  The workouts are always fresh and new.  As he says, 'I've never done the same workout twice!'  Definitely recommend!"
2020-11-10T14:37:42.248Z,Andy Johnson,"My son has been training at Genesis Performance with Graham since they opened. It has been a fantastic experience for him. Not only are the trainers pushing them to improve their physical conditioning, but they also coach them on their attitude, effort, and how they approach training. We were with another facility for 2 years, but after just 1 week with Genesis, my son said this was the best he'd had. I highly recommend Genesis Performance!!"
2020-11-05T18:43:29.260Z,Nick Rusche,"My daughter has been going to Genesis for the last month and she absolutely loves it.  Graham and the trainers are great at what they do.  They provide positive encouragement while pushing to bring out the best in the young athletes.  Thanks to them, my daughter's confidence and ability on the court have improved dramatically."
2020-11-04T15:58:27.260Z,John T,"Our son has been going to Genesis since opening a month ago and it is a very positive experience for him. Graham and his coaches create a fun, encouraging atmosphere in training. My son loves going, has fun doing it, and I'm already seeing results!"
2020-11-02T23:55:14.260Z,Lauren Snyder,Our son has been going since they opened a month ago and we couldn't be happier. The trainers meet each athlete where they are and encourage them to grow in their athletic ability. My son has increased his speed and acceleration in just a few short weeks. He loves the workouts and is so proud of the progress he is making. The trainers teach proper technique to ensure safety and success of their movements. Graham and the whole team at Genesis is exceptional. Our son is excited to go to his training sessions and talks all about what he accomplished when the hour is up! We couldn't have found a better performance training facility! 5 STARS for sure!
2025-01-26 21:33:31,Kim Toomey,"My daughter hurt her back in gymnastics a year ago and was still having lower back pain. So, I researched Physical Therapy and they are all booked for at least two months. I stopped by Genesis Performance looking for Pilates or yoga and decided to do the Adult Fitness classes. We love it! It has been 2 months and she no longer has any back pain. She is a sophomore in high school and is much stronger. I have lost weight and I feel like I have become an athlete and I'm in my 50s. I wasn't expecting my athletic performance to improve so much. I honestly think this is the best gym in Carmel and I highly recommend it if you're tired of living with pain."
2025-01-16 16:17:22,Jaron Turner,"Our son has been going to Genesis for a few months. He loves it, and we have seen a huge improvement in his strength, speed, and his confidence on the basketball court. The trainer coach Mariah is amazing!"
2025-01-12 23:51:39,Brandon Merrill,"Genesis Sports Performance has been extremely helpful for our 10 year old son who has some nervous system complications from a head injury. The training has been extremely beneficial for his recovery. Not only has it helped him physically, but he has gained confidence to push through difficulties and adversity. His work ethic and toughness are improving along with his coordination. The coaches are awesome and push him to his limits each class, while truly caring about him as an athlete and person. Thank you Genesis!"
2025-01-12 16:33:39,Derek Gillman,"Awesome trainers, programs and environment."
2025-01-04 14:49:11,Andy Johnson,"We've been using Genesis for my son's speed and agility training for years now. We have always loved the facility and the trainers. They push the athletes hard, and encourage them along the way. Recently, Graham helped my son identify some goals and strategies for overcoming mental obstacles in sports. I have seen significant growth in my son as an athlete and young man because of Graham's time and investment in him. We'd recommend Genesis to anyone!!"
2025-01-03 19:38:32,Erica Shaw,"My son attends the speed and agility training youth classes 2x a week. He loves it! I have seen a huge improvement in his speed, strength and overall athletic performance. I also appreciate the communication, organization and easy online scheduling feature. I highly recommend Genesis Performance!"
